text,label_text
"652, 245 S.W. 2d 497, cited by appellant, the defendant testified at the trial that he had never been convicted of a felony, and was subject to cross-examination.","Fact, Fact, Invalid sentence, Invalid sentence"
The prior convictions were stipulated.,"Fact, Other, Other, Fact"
and after being shot at five times while running a road block he wrecked the automobile and was apprehended.,"Fact, Fact, Invalid sentence, Invalid sentence"
When first approached by the officers in Fort Worth he fled at more than 100 m.p.h.,"Fact, Invalid sentence, Invalid sentence, Fact"
"The injured party, Frank H. Fryer, left his wife in their home about 7:20 P.M. on the day in question, driving his automo","Fact, Fact, Invalid sentence, Invalid sentence"
The court instructed the jury not to consider the statement.,"Fact, Other, Fact, Other"
"The prosecuting witness, a young boy 15 years of age at the","Fact, Fact, Invalid sentence, Invalid sentence"
"“ ‘There are numerous decisions holding that this court will judge of the action of the trial court in rejecting or admitting testimony from the standpoint of the objections made, and not from the standpoint of objections which might have been made but were not.’ ”","Fact, Other, Other, Fact"
"[The Court: “Disregard that testimony, gentlemen.","Fact, Invalid sentence, Invalid sentence, Fact"
"If, however, appellant is in position to complain that the venue was not proved because it was not shown that the place in question was in Texas, we find the evidence","Fact, Fact, Invalid sentence, Invalid sentence"
He testified in part:,"Fact, Invalid sentence, Invalid sentence, Fact"
"Omitting the warning, which appears to conform to the requirements of Art. 727 C.C.P., the statement reads:","Fact, Fact, Invalid sentence, Invalid sentence"
The record reveals that the appellant was present during the,"Fact, Fact, Invalid sentence, Invalid sentence"
"Appellant was captured by Officer Gilbert after he had run upon a pile of lumber between two buildings and, at the time, had on his person a fifth bottle of V.","Fact, Fact, Invalid sentence, Invalid sentence"
O. Canadian Whiskey which he had opened and was attempting to pour the contents on the ground.,"Fact, Fact, Invalid sentence, Invalid sentence"
"Finding the evidence sufficient to support the conviction and no reversible error appearing, the judgment of the trial court is affirmed.","Fact, Conclusion, Analysis"
"In the recent case of Ex parte Knoll, 339 S.W. 2d 678, citing Ex parte Higgins, 338 S.W. 2d 717, in upholding the action of the governor of this state ordering the return of a relator to the demanding state after revocation of his probation in that state this court said:","Fact, Invalid sentence, Rule/Law/Holding"
We do not agree with this contention.,"Conclusion, Analysis, Other"
He first says that there was no evidence to support the charge and that it was a comment upon the weight of the evidence.,"Analysis, Issue, Fact"
Such instruction required a finding by the jury of the constituent elements of the offense of oral sodomy as charged in the indictment and the charge does not present fundamental error.,"Fact, Analysis, Rule/Law/Holding"
Appellant was convicted of the offense of sodomy and his punishment assessed at confinement in the penitentiary for 15 years.,"Analysis, Fact, Issue"
"The complaint of any irregularity in the order of transfer of an indictment from the district court to a court having jurisdiction should be urged before announcing ready, entering a plea and standing trial.","Conclusion, Analysis, Other"
I feel that the motion for rehearing should be granted.,"Fact, Conclusion, Analysis"
"E. Fields, surities on a habeas corpus bond wherein Tennyson Searcy is principal, from the final judgment of Criminal District Court No. 2, of Dallas County, forfeiting said bond.","Conclusion, Other, Fact"
"“Recognizances and bail bonds are forfeited in the following manner: The * * * judgment [nisi] * * * shall state that the same will be made final, unless good cause be shown at the next term of the court why the defendant did not appear.”","Analysis, Rule/Law/Holding, Fact"
