text,label_id,label_text
"98, 267 S.W. 2d 557, and the facts in this case are identical with the reported facts in Montello’s case.",7,Invalid sentence
"Appellant called as witness his wife and Odell Harris, but neither was asked to express an opinion, or testify as to his con",7,Invalid sentence
Appellant further testified that he and his wife were taken to Parkland Hospital where she was laid on.,7,Invalid sentence
"Appellant was convicted in the corporation court of the City of Del Rio, Val Verde County, for the offense of unlawfully plac",7,Invalid sentence
Appellant’s brother-in-law testified in his behalf and stated,7,Invalid sentence
"Coley, the next witness, testified that he remembered the Selby case being mentioned in the discussion concerning the meaning of life imprisonment and the number of years a man “would stay in the.",7,Invalid sentence
He doesn’t even know me” during a seizure and,7,Invalid sentence
"He stated that appellant started to leave but stopped and hollered,",7,Invalid sentence
"He stated that appellant told him that if he would “give him a small fix,” he would “connect for him,” which he explained was the vernacular employed by ad-",7,Invalid sentence
High said that appellant claimed the road over which the trucks were traveling was a private road when he (Hight) knew it to be a public road; that he then called Constable Fuller,7,Invalid sentence
"In the effort to comply with appellant’s objection that a proper predicate had not been laid for Dr. Mason’s testimony, the",7,Invalid sentence
In the recent case of Dinsmore v.,7,Invalid sentence
"It is appellant’s contention that the grand jury which returned the indictment against him was not legally empaneled because the record shows that the judges of the Criminal District Courts of Harris County in appointing grand jury commissioners and empaneling grand juries in the county were not following the provision of Article 52-158b, see.",7,Invalid sentence
It is the state’s position that the exact question here presented was decided adversely to the appellant’s contention in Montello v.,7,Invalid sentence
O. P. McGrew testified that he bought the four cattle from appellant at the Houston Packing Company at 7:30 A.M. on,7,Invalid sentence
Reliance is had upon Harris v.,7,Invalid sentence
The conviction is attacked as void for the reason that the mandatory requirements of Art. 10a V.A.C.C.P.,7,Invalid sentence
The distinction between the case before us and Harris v.,7,Invalid sentence
The evidence,7,Invalid sentence
The remaining charge against him in the indictment is that,7,Invalid sentence
The state also introduced in evidence certain,7,Invalid sentence
"This is an appeal by Chester A. Oehler, as a surety upon the appearance bond of William Hood, from a final judgment of",7,Invalid sentence
"U. S. Narcotic Agent Frost and Officer Ortiz of the San Antonio police narcotic division testified that, in company with U. S.",7,Invalid sentence
"We find no merit in appellant’s contention that, because the order transferring the cause from Criminal District Court No. 2 to Criminal District Court did not recite that it was transferred with consent of the court, the order was void by reason of the provision of Article 52-158b, sec.",7,Invalid sentence
