text,label_text
The jury resolved the disputed issue of intoxication against,"Fact, Fact, Invalid sentence, Invalid sentence"
"The integrity of the grand jury system, however, is certainly enhanced by keeping the entire proceeding a matter of record.","Fact, Other, Other, Fact"
INDICTMENTS DISMISSED WITHOUT PREJUDICE.,"Fact, Other"
In order to constitute a threat under Arts.,"Fact, Fact, Invalid sentence, Invalid sentence"
The question is not before this Court for review.,"Fact, Fact, Other, Other"
In submitting the issue of appellant’s guilt to the jury the court instructed as follows:,"Fact, Fact, Invalid sentence, Invalid sentence"
"Appellant, who was sitting under the steering wheel, then proceeded to drive the automobile from the","Fact, Fact, Invalid sentence, Invalid sentence"
"There was no evidence showing or tending to show that appellant was not guilty of the offense charged, as was the case in Burks v.","Fact, Fact, Invalid sentence, Invalid sentence"
"Through a glass window in the door of the back room, she observed the appellant return to the front of the store where she “got a good look at him” as he hesitated for a brief time, walked to the center of the","Fact, Fact, Invalid sentence, Invalid sentence"
"“All male persons who habitually associate with prostitutes, or habitually loiter in or around houses of prostitution, or who,","Fact, Fact, Invalid sentence, Invalid sentence"
"Officer Johnston testified that after he entered the house, he was met in the hall by the appellant; that he asked appellant","Fact, Fact, Invalid sentence, Invalid sentence"
We shall discuss the contentions advanced by brief and in argument.,"Fact, Fact, Other, Other"
"Our prior opinions herein are withdrawn, and the following is substituted in lieu therefor.","Fact, Fact, Other, Other"
Appellant testified that prior to the accident he had been to a New,"Fact, Fact, Invalid sentence, Invalid sentence"
"Gilberto Sepulveda, wherein he was convicted, upon a plea of guilty, of the offense of felony theft and assessed punishment at confinement in the penitentiary for three years.","Fact, Fact, Invalid sentence, Invalid sentence"
"In the petition, relator alleges that he is being illegally restrained of his liberty under a judgment of conviction entered on March 6, 1961, in Cause No. 8825, styled the State of Texas vs.","Fact, Fact, Invalid sentence, Invalid sentence"
"Plaintiff appeared through counsel Paul J. Rodgers, and defendant was represented by counsel E. R. Crain.","Fact, Other, Fact, Other"
The jury by their verdict resolved the disputed issues against,"Fact, Fact, Invalid sentence, Invalid sentence"
A picture thereof is part of this record.,"Fact, Other, Other, Fact"
